Author,Fields
M. A. Baranov,gr-qc;gr-qc;gr-qc;cond-mat;gr-qc;gr-qc;math;cond-mat;cond-mat;gr-qc
Ran Canetti,cs;cs;math;math;math;math;math;math;math;math
Gordon Smith,math;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;gr-qc;gr-qc;gr-qc
C. Wagner,cond-mat;cond-mat;physics;physics;hep-ph;hep-ph;hep-ph;physics;physics;cond-mat
Roldan Pozo,cs;math;astro-ph;gr-qc;cond-mat;quant-ph;cond-mat;cond-mat;math;math
B. Mueller,nucl-th;hep-ph;hep-ph;hep-ph;quant-ph;nucl-th;cond-mat;cond-mat;hep-ph;hep-ph
Harald Hempel,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Shalsoh B. Ekhad,math;math;math;math;math;math;math;math;math;math
Allen Knutson,math;math;math;math;math;math;math;math;math;math
Deborah Wallace,q-bio;q-bio;q-bio;q-bio;cond-mat;math;math;hep-ph;hep-ex;stat
J. B. Kogut,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-lat
Ofir E. Alon,cond-mat;cond-mat;math;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;cond-mat
R. Machleidt,nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th
A. D. Chacon,math;math;math;math;math;cond-mat;nucl-ex;hep-ph;physics;math
Samuel Drapeau,q-fin;math;math;q-fin;q-fin;math;math;math;math;q-fin
Tuomas J. Lukka,nlin;cs;math;math;math;cs;math;math;math;q-bio
Fabio Sabatini,cs;q-fin;q-fin;cs;cs;cs;cs;astro-ph;astro-ph;astro-ph
Robert F. Coker,physics;math;astro-ph;astro-ph;astro-ph;astro-ph;math;math;math;math
Cheng Wan,cs;cs;math;math;cs;cs;q-fin;math;math;cond-mat
Hao-Shiung Lin,physics;math;math;math;math;physics;physics;math;math;math
W. Maichen,physics;cs;cs;cs;cs;cond-mat;cs;hep-ph;hep-ph;hep-ph
G. George Batrouni,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
R. Laforest,quant-ph;quant-ph;quant-ph;nucl-ex;quant-ph;nucl-ex;quant-ph;quant-ph;nucl-ex;nucl-ex
Chanyoung Lee Shader,math;math;math;math;math;math;math;math;math;math
W. Baltensperger,physics;astro-ph;physics;physics;physics;physics;physics;physics;astro-ph;physics
Barbara Drossel,cond-mat;nlin;nlin;cond-mat;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat
Johan Bollen,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
David E. Rosenberg,physics;astro-ph;astro-ph;astro-ph;astro-ph;math;astro-ph;astro-ph;math;math
Daniel Solli,physics;physics;physics;cs;physics;math;cond-mat;cond-mat;quant-ph;physics
Laurent Thery,cs;cs;cs;cs;math;math;astro-ph;astro-ph;astro-ph;cond-mat
Herschel Rabitz,cond-mat;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;math;quant-ph;physics;quant-ph
Ton Bisseling,q-bio
Percy Deift,math;math-ph;math-ph;math-ph;math-ph;math;math;math;math;math
Gerardo Chowell,q-bio;q-bio;q-bio;physics;q-bio;q-bio;q-bio;physics;q-bio;hep-ex
Mark J friedman,hep-ex;physics;math;hep-ex;math;physics;hep-ph;math;math;math
Yehoshua Levinson,quant-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cs;cs;cs;cs
J. E. Belz,astro-ph;astro-ph;hep-ex;nucl-ex;astro-ph;astro-ph;hep-ex;astro-ph;hep-ph;hep-ex
Kathleen R. McKeown,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Daniela Russo,q-bio;gr-qc;hep-ph;hep-th;hep-th;hep-th;hep-th;math;quant-ph;quant-ph
David M. Mount,cs;astro-ph;physics;astro-ph;hep-ph;cs;astro-ph;math;physics;math
V. Bellini,quant-ph;cond-mat;nucl-ex;cond-mat;nucl-ex;cond-mat;quant-ph;cond-mat;cond-mat;quant-ph
Vladimir Pestov,math;math;math;math;cs;math;math;cs;cs;cs
Michel Morvan,nlin;nlin;cs;nlin;nlin;cs;math;astro-ph;astro-ph;astro-ph
L. Andersson,math;math;astro-ph;math;quant-ph;gr-qc;astro-ph;astro-ph;physics;astro-ph
Tadashi Takeuchi,cs;astro-ph;astro-ph;astro-ph;astro-ph;cs;hep-ph;hep-ph;hep-ph;hep-ph
Gemunu H. Gunaratne,cond-mat;cond-mat;cond-mat;cond-mat;cs;physics;physics;physics;cond-mat;cond-mat
Edward R. Floyd,quant-ph;physics;quant-ph;quant-ph;quant-ph;quant-ph;physics;quant-ph;quant-ph;quant-ph
W. Christie,astro-ph;nucl-th;nucl-ex;nucl-ex;physics;nucl-ex;physics;hep-ph;hep-ph;hep-ph
Zhan Zhang,cond-mat;hep-ph;hep-ph;physics;hep-ph;hep-ph;hep-ph;gr-qc;cond-mat;hep-th
D. Winter,hep-ph;astro-ph;hep-ex;hep-ex;hep-ph;hep-ph;astro-ph;astro-ph;nucl-th;nucl-th
P. G. Cerello,physics;physics;physics;physics;physics;physics;nucl-ex;cs;physics;physics
Raymond C. Heitmann,math;math;math;math;math;math;math;math;stat;nucl-th
P. Fallon,nucl-th;nucl-th;nucl-ex;nucl-ex;nucl-ex;nucl-th;nucl-th;cond-mat;astro-ph;nucl-ex
N. A. Zabotin,physics;physics;physics;astro-ph;physics;physics;physics;physics;physics;physics
P. Etchegoin,q-bio;quant-ph;physics;physics;physics;physics;cond-mat;cond-mat;physics;physics
Anna A. Chernova,q-bio;math;math-ph;cs;math;math;quant-ph;quant-ph;quant-ph;math
Alejandro Corichi,gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;quant-ph;gr-qc;physics;gr-qc;gr-qc
Shuba Raghavan,cs;cond-mat;cond-mat;cond-mat;cs;cond-mat;math;hep-ph;math;math
C. E. Jones,astro-ph;cond-mat;physics;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat
 XTAG Research Group,cs;cs;physics;math;physics;physics;cs;math;astro-ph;cs
Alexander Haubold,cs;cs;cs;cs;cs;cs;cs;cs;math;math
J. D. Maitland Wright,math;math;math;quant-ph;math;math;cond-mat;cond-mat;cond-mat;cond-mat
T. Esslinger,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat
Tushar Chandra,cs;cs;gr-qc;astro-ph;cs;math;cs;math;cs;cs
N. Lo Iudice,nucl-th;nucl-th;physics;nucl-th;nucl-th;nucl-th;math;nucl-th;physics;nucl-th
B. Torresani,cs;physics;q-bio;math;math;cs;cs;cond-mat;cond-mat;cs
H. Imai,quant-ph;cond-mat;cond-mat;cs;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat
Xiufang Wang,q-bio;q-bio;cond-mat;cond-mat;math;physics;quant-ph;stat;quant-ph;math
J. ~Barrette et. al,nucl-ex;gr-qc;quant-ph;math;hep-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-th
Davide Cora',q-bio
H. C. Lin,hep-ex
P. E. Berche,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Huagang Yan,physics;physics;nlin;nlin;physics;physics;astro-ph;physics;physics;physics
Ismael Mourifie,econ;astro-ph;astro-ph;math;math;math;math;math;math;math
R. Esposito,math-ph;math-ph;hep-ex;hep-ex;math;astro-ph;q-bio;cond-mat;hep-th;math-ph
M. S. Chapman,cond-mat;physics;cond-mat;cond-mat;cond-mat;physics;physics;quant-ph;cond-mat;stat
Z. Petric,math;math;math;math;math;math;math;math;math;math
R. Huerta,math;hep-th;hep-ph;physics;hep-ph;astro-ph;gr-qc;hep-ph;hep-ph;hep-ph
Reka Albert,q-bio;q-bio;q-bio;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;q-bio
Donald E. Knuth,cs;math;cs;cs;math;math;cs;cs;math;math
B. Pietrzyk,physics;hep-ex;hep-ph;hep-ex;hep-ph;cond-mat;nlin;hep-ph;hep-ph;hep-ph
Longhai Li,stat;stat;stat;stat;stat;stat;math;stat;stat;physics
Herve Bronnimann,cs;math;math;astro-ph;cond-mat;cond-mat;math;math;math;nlin
Siye Wu,hep-th;hep-th;hep-th;math;hep-th;math;math;math;math;math
Marilyn E. Noz,math-ph;hep-ph;physics;cond-mat;hep-th;physics;quant-ph;quant-ph;quant-ph;quant-ph
R. Sadhu,cs;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;math;math;math;cond-mat
Krishna Kumar,hep-th;nlin;cs;math;cs;math;quant-ph;quant-ph;physics;quant-ph
Martin Ziegler,math;math;quant-ph;physics;cs;math;cs;cs;cs;cs
K. C. O'Meara,math;math;math;astro-ph;hep-ph;hep-ph;math;math;math;nucl-th
E. J. Aguilar,quant-ph;cond-mat;astro-ph;gr-qc;astro-ph;q-bio;physics;quant-ph;gr-qc;physics
Wei Chen,cs;q-fin;cond-mat;q-fin;math;cond-mat;q-fin;math;nlin;math
M. Ali Saif,quant-ph;q-fin;q-fin;cond-mat;cond-mat;quant-ph;quant-ph;quant-ph;quant-ph;cs
Solomon M. Saltiel,physics;nlin;cs;math;math;quant-ph;nlin;nlin;nlin;nlin
E. G. Floratos,hep-th;physics;hep-lat;hep-th;hep-th;math-ph;hep-ph;hep-th;math-ph;hep-th
C. I. Siettos,math;math;physics;math;cond-mat;nlin;nlin;nlin;math;nlin
Paul J. Werbos,quant-ph;hep-th;cs;quant-ph;quant-ph;physics;cond-mat;nlin;q-bio;q-bio
Ronald Lipsman,math;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
K. J. in 't Hout,math;q-fin;math;q-fin;math;q-fin;math;q-fin;math;math
I. Rapoport,math;physics;math;math;math;math;math;math;math;math
Werner Nutt,cs
H. C. Rosu,cond-mat;physics;quant-ph;gr-qc;gr-qc;gr-qc;gr-qc;physics;physics;physics
C. W. Carlson,hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;physics;math;nucl-th;physics
Mark Burgess,hep-th;quant-ph;cs;hep-th;hep-th;cs;cs;cs;cs;cs
Darren J Wilkinson,physics;physics;physics;math;physics;stat;stat;stat;physics;physics
B. Moa,math;cond-mat;cs;cs;astro-ph;astro-ph;astro-ph;astro-ph;cs;astro-ph
Tristram J. Alexander,cond-mat;cond-mat;cond-mat;nlin;cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat
Radford M. Neal,math;math;math;math;physics;stat;math;math;physics;stat
Giorgio Satta,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Fulufhelo V. Nelwamondo,cs;stat;cs;cs;cs;cs;cs;cs;cs;cs
Daniel Sturman,cs;math;math;cond-mat;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Serban E. Vlad,cs;cs;cs;cs;cs;cs;cs;cs;math;cs
Tadek Figiel,math;math;hep-ex;math;math;math;math;math;hep-ex;math
A. Iomin,nlin;nlin;quant-ph;nlin;cond-mat;cond-mat;q-bio;cond-mat;cond-mat;nlin
D. M. Scherbin,physics;math-ph;physics;nlin;math;math;math;math;astro-ph;math
G. G. Petratos,nucl-ex;nucl-th;nucl-th;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
S. Seshadri,nlin;quant-ph;quant-ph;math;quant-ph;math;math;cond-mat;astro-ph;quant-ph
Gail Ratcliff,math;math;math;math;math;math;math;hep-ex;hep-ex;astro-ph
Raymond Y. Chiao,physics;physics;physics;quant-ph;gr-qc;quant-ph;gr-qc;gr-qc;gr-qc;gr-qc
Wei-Mou Zheng,cond-mat;math;math;cond-mat;cond-mat;math;math;astro-ph;math;math
Luciano Pietronero,cond-mat;cond-mat;q-fin;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Rukmini Kumar,math;q-bio;math;astro-ph;math;math;math;math;math;math-ph
Sudebkumar Prasant Pal,cs;math;cs;quant-ph;cs;quant-ph;quant-ph;cs;cs;cs
Wojciech Mazurczyk,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
G. Lenderink,physics;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Asgar Jamneshan,math;q-fin;math;math;math;math;math;math;math;nucl-ex
A. Roy Chowdhury,math
Pieter Rein ten Wolde,cond-mat;cond-mat;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio;q-bio
Li-jian Teng,math;math;math;math;math;math;math;math;math;math
Joyce R. McLaughlin,math;math;math;math;math;math;math;math;math;math
Hans E. Plesser,physics;physics;physics;physics;physics;astro-ph;astro-ph;gr-qc;nucl-th;physics
Yuri Mansury,q-bio;nlin;physics;q-bio;physics;q-bio;astro-ph;astro-ph;astro-ph;astro-ph
Luc De Raedt,cs;cs;cs;cs;cs;gr-qc;gr-qc;math;gr-qc;math
F. Karsch,hep-lat;hep-lat;hep-lat;hep-ph;hep-lat;hep-lat;hep-ph;hep-lat;hep-ph;hep-lat
Xin Dong,nucl-ex;nucl-ex;nucl-ex;nucl-ex;math;math;math;cond-mat;q-fin;math
Changda Wang,cs;astro-ph;quant-ph;math;physics;cond-mat;math;math;math;quant-ph
I. C. Baianu,q-bio;q-bio;q-bio;q-bio;hep-th;hep-ph;cond-mat;hep-ph;hep-ph;math
J. Barrette,quant-ph;quant-ph;gr-qc;quant-ph;gr-qc;quant-ph;gr-qc;astro-ph;gr-qc;physics
Alexander Yu. Vlasov,quant-ph;quant-ph;quant-ph;cs;quant-ph;quant-ph;quant-ph;quant-ph;math;quant-ph
M. Kollar,math;math;math;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;cond-mat
Thomas Strohmer,cs;math;math;math;math;math;cs;math;math;math
Gilbert Baumslag,math;math;math;math;math;math;math;math;math;cond-mat
P. O. Fedichev,cond-mat;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Hua-Wei Yin,math;math;math;math;math;math;q-fin;math;math;math
A. Fasso,hep-ph;hep-ph;astro-ph;stat;hep-ex;nucl-th;astro-ph;astro-ph;physics;physics
A. Agresti,physics;cond-mat;cs;gr-qc;gr-qc;gr-qc;gr-qc;stat;math;physics
Francois Bar,physics;math;cs;math;physics;physics;cond-mat;physics;physics;math
Ida Johnsson,econ;gr-qc;gr-qc;gr-qc;math;math;physics;physics;physics;physics
Stanimire Tomov,cs;cs;cs;cs;cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Aidana Irmanova,cs;eess;cs;q-fin
Salvatore Federico,hep-th;math;math;math;math;q-fin;math;math;q-fin;math
Ethan D. Gershon,math;math;math;cond-mat;math;math;math;q-bio;math;math
R. Haeckl,physics;physics;hep-ph;hep-ph;physics;math;cond-mat;gr-qc;gr-qc;gr-qc
H. Lee,nucl-th;hep-th;hep-th;cond-mat;cond-mat;cond-mat;cond-mat;math;astro-ph;nucl-th
L. M. Martiouchev,nlin;hep-ph;cond-mat;cond-mat;cond-mat;math;math;math;math;quant-ph
Yan Jie,astro-ph;math;cond-mat;math;q-bio;math;math;hep-ph;hep-ph;cs
Helen Armstrong,hep-ph;nucl-ex;nucl-ex;nucl-ex;math;nucl-ex;nucl-ex;astro-ph;nucl-ex;stat
Ivan Png,cs;nlin;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;gr-qc;hep-lat
Chaya Levovitz,q-bio;cs;math;math;math;math;math;math;math;math
Yoshiharu Yamamoto,hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-ph;hep-th;hep-th;hep-th;hep-th
D. J. Scalapino,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Gordan Zitkovic,q-fin;q-fin;math;math;math;math;q-fin;q-fin;q-fin;math
M. E. Garcia,cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat
L. G. S. Duarte,math-ph;math;math-ph;math-ph;math-ph;physics;math-ph;math-ph;math-ph;math-ph
Stefan Johansson,math;math;cs;cs;physics;math;math;astro-ph;astro-ph;cond-mat
Alexander I. Zaslavsky,math;math;astro-ph;math-ph;math-ph;hep-th;astro-ph;math;astro-ph;math
Robert Cannon,cs;math;astro-ph;math;q-bio;astro-ph;cs;astro-ph;astro-ph;astro-ph
J. B. Forsyth,physics;astro-ph;astro-ph;cond-mat;math;astro-ph;math;astro-ph;astro-ph;astro-ph
Robert Klein,hep-th;physics;hep-th;hep-th;gr-qc;hep-th;quant-ph;physics;quant-ph;quant-ph
Long Chen,math;math;stat;math;cs;math;math-ph;hep-th;hep-th;hep-th
Jianqing Fan,math;math;math;stat;math;math;math;math;stat;math
U. Werthenbach,nucl-ex;physics;physics;physics;physics;physics;hep-ex;cond-mat;cond-mat;hep-ph
Denis V. Juriev,nlin;math;math;physics;physics;physics;nlin;math;math;math
Mark Rudelson,math;math;math;math;math;math;math;math;math;math
Lawrence C. Paulson,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
G. Rowlands,cond-mat;physics;cond-mat;physics;q-bio;physics;cond-mat;physics;physics;physics
Jacek Jakubowski,math;q-fin;math;math;math;math;math;q-fin;q-fin;math
Nikos Deligiannis,eess;cs;cs;cs;cs;cs;cs;cs;cs;cs
Misuhiro Shishikura,math;math;math;math;math;math;math;math;math;math
O. S. Lesyuta,physics;physics;physics;physics;physics;physics;physics;physics;hep-ex;math
B. F. Gibson,nucl-th;nucl-th;nucl-th;nucl-th;astro-ph;nucl-th;nucl-th;nucl-th;nucl-th;nucl-th
Stamatis Kolios,math;hep-ph;hep-ph;hep-th;math;math;math;math;math;math-ph
John W. Milnor,math;math;math;math;math;math;math;math;math;math
Pierre-Louis Lions,math;math;math;cond-mat;cond-mat;math;math;math;math;math
M. A. Stoyer,nucl-ex;astro-ph;math;astro-ph;cs;cs;gr-qc;gr-qc;astro-ph;astro-ph
Daniel F. McCaffrey,stat;stat;stat;stat;stat;stat;math;math;math;math
Sorin Popescu,math;math;math;math;math;math;math;math;math;math
Chal Benson,math;cs;math;math;math;math;math;math;math;math
R. Sartene,physics;math;cond-mat;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;hep-ph
Rajesh M Hegde,cs;cs;cs;cs;eess;eess;hep-th;cond-mat;cond-mat;cond-mat
Eirik Fossgaard,cs;cs;cs;cs;cs;cs;cs;astro-ph;math;hep-th
J. Maurice Rojas,math;math;math;quant-ph;math;math;math;math;math;math
Judith D. Sally,math;math;math;math;math;stat;astro-ph;astro-ph;astro-ph;astro-ph
Shidong Wang,cond-mat;cond-mat;cond-mat;math;cond-mat;q-fin;cond-mat;math;math;cond-mat
Jean-Claude Hausmann,math;math;math;math;math;cs;math;math;math;math
Pierre Dutilleux,cs;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Alexandru Avram,math;math;math;math;math;math;math;math;math;math
J. Olsfors,physics;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
Nassif Ghoussoub,math;math;math;math;math;math;math;math;math;math
S. Gushue,physics;hep-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Stefano Vannucci,q-fin;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;math
Sophia N. Yaliraki,q-bio;cond-mat;q-bio;q-bio;physics;cond-mat;physics;q-bio;physics;physics
Andrew Odlyzko,cs;cs;math;math;math;math;astro-ph;astro-ph;astro-ph;astro-ph
D. Vollhardt,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Shwu-Jane Shieh,cs;math;math;math;math;math;cs;math;cs;math
Divyakant Agrawal,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Scott Wolpert,math;math;math;math;math;math;math;math;math;math
Sigrid Bernstorff,cond-mat;physics;q-fin;math;physics;physics;math;math;math;math
David R. Karger,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
M. Huhtinen,physics;physics;physics;cond-mat;cond-mat;physics;cond-mat;physics;math;math
Kelly Choo Hon Min,cs;math;math;math;math;math;math;math;math;math
B. W. Filippone,hep-ph;nucl-ex;physics;nucl-ex;nucl-ex;physics;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Basel Salahieh,eess;math;math;math;math;math;math;math;math;math
Iskander A. Taimanov,math
Rick Linger,cs;math;cs;math;math;hep-ph;hep-ph;math;hep-ph;q-bio
C. de Valk,physics;math;math;math;math;eess;cs;q-bio;math;math
Michel Rigo,cs;cs;cs;cs;cs;cs;cs;cs;math;math
Bodhi Mukherjee,cs;physics;cond-mat;cs;math;math;math;math;math;math-ph
E. J. Beise,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;physics;nucl-ex;nucl-th;nucl-ex;physics
E. Baake,q-bio;q-bio;math;q-bio;math;math-ph;math;math;math;math-ph
G. V. Russo,hep-th;hep-th;hep-th;astro-ph;astro-ph;nucl-ex;nucl-ex;math;hep-th;hep-th
Eli Eisenberg,quant-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;q-bio;cond-mat;cond-mat
A. Manwani,q-bio;cs;cs;cs;cs;cs;cs;cs;cond-mat;cond-mat
Ralf D. Tscheuschner,physics;cond-mat;hep-th;physics;cond-mat;physics;physics;cond-mat;math;gr-qc
Vachtang Putkaradze,cond-mat;physics;physics;nlin;nlin;nlin;nlin;nlin;nlin;nlin
J. Ritt,math;physics;math;q-bio;math;math;math;cs;physics;math
Sergey Yekhanin,cs;math;cs;cs;cs;cs;cs;cs;cs;cs
Alexei G. Poltoratski,math;math;math;math;math;math;math;math;math;math
Alberto Mendelzon,cs;cs;nlin;astro-ph;astro-ph;astro-ph;cond-mat;cond-mat;cond-mat;cond-mat
Marcel Franz,cond-mat;cond-mat;cond-mat;cond-mat;math;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
S. Deser,physics;physics;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
V. G. Sukhovolsky,q-bio;math;math;math;math;math;math;astro-ph;math;astro-ph
Henry E. Kandrup,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph
R. Giannitrapani,gr-qc;physics;cs;astro-ph;quant-ph;astro-ph;cs;quant-ph;cs;math
Mark H. A. Davis,q-fin
Darran Nathan,cs;cs;cs;cs;cs;hep-lat;hep-lat;physics;quant-ph;quant-ph
Mattias Ohlsson,hep-ph;hep-ph;hep-ph;hep-ph;cs;quant-ph;hep-ph;hep-ph;hep-ph;hep-ph
E. M. Drobyshevski,astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;q-bio;astro-ph;astro-ph;astro-ph;astro-ph
K. U. Kasemir,cs;cs;cs;physics;physics;nucl-th;cond-mat;hep-lat;hep-ph;math
Adrien Douady,math;math;math;cs;cs;cs;cs;math;math;math
Michael C. Mackey,q-bio;math;math;q-bio;q-bio;math;math;math;cond-mat;cond-mat
Mark Peters,hep-ph;math;math;hep-th;math-ph;physics;cs;hep-th;math;quant-ph
Hans Gerd Evertz,hep-lat;cond-mat;hep-lat;cond-mat;cond-mat;cond-mat;hep-lat;cond-mat;cond-mat;hep-lat
Khalil M. Bitar,hep-lat;hep-lat;hep-lat;hep-lat;hep-lat;hep-th;math;hep-lat;hep-lat;hep-lat
Stan Bumble,q-bio;q-bio;math;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph;quant-ph
Margaret H. Szymanski,cs;cs;cs;cs;cs;cs;math;math;math;quant-ph
R. Scharenberg,hep-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;hep-ex;nucl-ex;nucl-ex;nucl-th
Neil Gandal,cs;cs;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;cond-mat
Henryk Fuks,nlin;nlin;nlin;nlin;nlin;nlin;math;nlin;math;nlin
Peter Haagensen,hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-th;hep-ph
W. Ebeling,math;nlin;math;physics;math;physics;math;physics;physics;physics
C. Semay,physics;hep-ph;quant-ph;hep-ph;hep-ph;hep-ph;hep-ph;astro-ph;hep-ph;hep-ph
Ned S. Wingreen,cond-mat;cond-mat;cond-mat;cond-mat;physics;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Valeri V. Dvoeglazov,hep-th;hep-th;hep-ph;hep-th;math-ph;hep-th;hep-th;hep-th;hep-th;hep-th
Vadim Linetsky,q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;math;math
Joseph Y. Halpern,cs;cs;cs;cs;cs;cs;cs;cs;cs;cs
Michael Frumkin,cs;cs;math;math;cond-mat;math;math;math;math;cond-mat
Xingru Zhang,math;math;math;math;math;math;math;math;math;math
David Eppstein,cs;cs;math;math;cs;cs;cs;cs;math;math
Ole H. Hald,math
T. Goldman,hep-ph;hep-ph;math;nucl-th;hep-ph;nucl-th;hep-ph;nucl-th;nucl-th;hep-ph
L. Ciciani,physics;cs;cs;astro-ph;cond-mat;cond-mat;gr-qc;hep-lat;hep-th;hep-th
Sebastien Lleo,q-fin
Jonas Berlin,hep-lat;hep-ex;hep-ex;hep-th;math;math;math;math;math;math
M. C. Ogilvie,physics;nucl-ex;hep-lat;nucl-ex;hep-lat;hep-lat;hep-lat;astro-ph;nucl-ex;nucl-ex
Peter W. Michor,math;math;math;math;math;math;math;math;math;math
W Wykes,physics;physics;astro-ph;quant-ph;physics;astro-ph;astro-ph;cs;cs;cs
Pengliang Shi,q-bio;q-bio;math;cond-mat;math;math;math;math;math;math
Kunio Takeyasu,q-bio;hep-ph;quant-ph;math;math;quant-ph;math;hep-ph;math;hep-ph
S. A. Mondal,math
Robert A. Herrmann,math
G. Csucs,q-bio
M. A. Sokolov,math
Andrew Walton,math;math-ph;astro-ph;astro-ph;math;astro-ph;physics;astro-ph;astro-ph;astro-ph
Alessandro D. Pesci,gr-qc;hep-th;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc;gr-qc
R. Zecchina,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
N. Toge,physics;physics;hep-ex;hep-ex;cs;physics;physics;physics;astro-ph;astro-ph
S. Dorfman,q-bio;physics;physics;math;cond-mat;math;nlin;astro-ph;stat;math
Tilman Esslinger,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;quant-ph;cond-mat;cond-mat;cond-mat;cond-mat
M. Rattray,q-bio;math;cond-mat;astro-ph;cond-mat;cs;nlin;q-bio;math;cs
S. Tarasov,cs;math;cs;cond-mat;cond-mat;nucl-th;cs;math;nucl-th;nucl-th
John L. Bryant,math;math;cond-mat;cond-mat;cond-mat;hep-th;math;hep-ph;astro-ph;cond-mat
J. Napolitano,hep-ex;hep-ph;astro-ph;astro-ph;quant-ph;astro-ph;astro-ph;astro-ph;quant-ph;quant-ph
Paul Wiggins,physics;q-bio;q-bio;stat;cond-mat;cond-mat;stat;astro-ph;physics;math
Frank Quinn,math;math;math;math;math;math;hep-th;math;math;math
M. Bardoscia,q-fin;q-fin;q-fin;q-fin;q-fin;q-fin;physics;cs;q-bio;q-fin
