Author,Fields
A. K. Gupta,math;cond-mat;math;cond-mat;astro-ph;cond-mat;nucl-ex;quant-ph;cond-mat;cond-mat
J. Lyn Miller,math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;physics;astro-ph;astro-ph
R. Marra,cond-mat;math-ph;math-ph;math-ph;cond-mat;math-ph;math-ph;cond-mat;math-ph;astro-ph
Linda Chen,math;math;math;math;math;cs;math;math;math;math
A. Charos,nucl-ex;physics;cond-mat;cond-mat;cond-mat;physics;physics;cs;physics;physics
D. W. Bullett,cond-mat;math;math;astro-ph;math;hep-ph;hep-ex;math;math;math
Jeong-Man Park,cs;physics;cs;cs;astro-ph;math;math-ph;cs;math;math
M. E. Pietrzyk,physics;hep-ph;hep-ph;hep-ph;nlin;physics;hep-ex;physics;physics;nlin
L. B. Holder,cond-mat;math;physics;cs;nlin;math;math;math;nlin;math
T. Hanawa,astro-ph;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;astro-ph;astro-ph
J. T. M. Walraven,cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat;cond-mat
Tinri Aegerter-Wilmsen,q-bio
Liang Chen,astro-ph;astro-ph;math;cond-mat;cond-mat;cond-mat;cond-mat;math;cond-mat;astro-ph
H. Lange,math;math;math;math;math;math;math;math;math;math
Dmitriy Cherkashin,physics;q-fin;gr-qc;hep-th;math;physics;physics;physics;physics;math
D. C. Tatarski,gr-qc;astro-ph;astro-ph;gr-qc;gr-qc;cond-mat;math;hep-ph;hep-th;hep-th
F. Smirnov,hep-th;hep-th;math-ph;hep-th;hep-th;hep-th;math-ph;math;hep-th;hep-th
R. V. F. Janssens,nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex;nucl-ex
Jamshid Moori,math;math;math;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;math
Jason Ritt,q-bio;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;astro-ph;hep-ph;hep-th;hep-th
